vehicle_type,vehicle_manoeuvre,junction_location,skidding_and_overturning,hit_object_in_carriageway,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_of_vehicle,driver_home_area_type,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Female,57,4,Urban area,Driver or rider,Female,32,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,54,12,Urban area,Driver or rider,Male,42,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,24,7,Urban area,Driver or rider,Male,24,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Female,49,5,unknown,Driver or rider,Male,15,Died
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,65,13,unknown,Driver or rider,Male,55,survived
Car,Turning left,Cleared junction or waiting,Skidded,Other object,from work,Male,34,9,Urban area,Driver or rider,Male,34,survived
Bus,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Male,34,7,Urban area,Passenger,Female,48,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,60,7,unknown,Passenger,Male,29,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,36,13,Urban area,Driver or rider,Female,36,survived
Motorcycle ,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,35,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,34,7,Urban area,Driver or rider,Male,34,survived
Goods ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,49,5,unknown,Driver or rider,Male,39,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,18,7,Urban area,Driver or rider,Female,18,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Kerb,Other,Female,42,7,Urban area,Driver or rider,Female,42,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Male,27,16,Urban area,Passenger,Male,12,survived
Car,Going ahead other,Leaving main road,Skidded,Parked vehicle,Other,Male,26,12,Urban area,Passenger,Female,54,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Male,38,4,unknown,Pedestrian,Male,13,survived
Car,Reversing,Leaving main road,Skidded ,Other object,Other,Male,23,5,Urban area,Passenger,Male,23,survived
Car,Turning right,Leaving main road,Skidded,Other object,from work,Male,33,7,Small town,Passenger,Female,35,survived
Car,Turning left,Leaving roundabout,Skidded,Other object,Other,Male,32,13,unknown,Driver or rider,Male,35,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,64,7,Urban area,Pedestrian,Male,45,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,11,unknown,Passenger,Female,29,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Female,57,7,Urban area,Driver or rider,Female,57,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Female,26,7,Rural,Driver or rider,Male,48,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,50,10,Urban area,Driver or rider,Female,35,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Male,38,1,unknown,Driver or rider,Female,46,survived
Car,Reversing,Mid Junction ,Skidded,Other object,Other,Male,24,3,Urban area,Passenger,Male,24,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Male,35,7,Urban area,Driver or rider,Female,54,survived
Goods ,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,34,1,Urban area,Driver or rider,Female,18,survived
Car,Moving off,Leaving main road,Skidded,Other object,Other,Male,73,7,Urban area,Driver or rider,Male,42,Died
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,77,1,Urban area,Driver or rider,Male,41,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,21,6,Urban area,Driver or rider,Male,21,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,51,7,Small town,Driver or rider,Male,51,survived
Motorcycle ,Going ahead other,Leaving main road,Skidded,Other object,from home,Male,16,7,Urban area,Driver or rider,Male,16,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,24,4,Urban area,Driver or rider,Female,43,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,12,7,Urban area,Driver or rider,Male,12,survived
Goods ,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,36,7,Rural,Passenger,Female,87,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,21,7,Urban area,Driver or rider,Female,38,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Female,28,Died
Motorcycle ,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,5,unknown,Pedestrian,Male,18,Died
Van ,Parked,Cleared junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Female,15,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Female,30,7,unknown,Driver or rider,Female,30,survived
Car,Turning right,Approaching junction or waiting,Skidded,Road works,Other,Female,22,12,Urban area,Passenger,Male,19,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,23,6,unknown,Driver or rider,Female,23,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,26,1,Urban area,Pedestrian,Male,15,Died
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,60,7,unknown,Driver or rider,Male,33,survived
Car,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Female,20,7,Urban area,Driver or rider,Male,24,survived
Pedal cycle,Turning right,Leaving main road,Skidded,Other object,from work,Male,58,7,Urban area,Driver or rider,Male,58,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,65,5,Urban area,Driver or rider,Female,19,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Male,28,7,Urban area,Passenger,Male,26,survived
Bus,Slowing or stopping,Mid Junction ,Skidded,Other object,Journey as part of work,Male,43,8,Urban area,Passenger,Female,24,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Male,37,8,Urban area,Driver or rider,Male,37,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,20,7,Urban area,Driver or rider,Male,20,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,45,10,Urban area,Driver or rider,Female,45,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,44,1,Rural,Passenger,Male,24,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,37,14,Urban area,Driver or rider,Male,37,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,35,5,Urban area,Passenger,Female,2,survived
Car,Going ahead other,Leaving main road,Overturned,Other object,Other,Female,22,4,Small town,Driver or rider,Female,22,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,43,10,Rural,Driver or rider,Female,19,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,54,18,Urban area,Driver or rider,Male,47,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,30,9,Urban area,Passenger,Male,27,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,2,Urban area,Driver or rider,Female,44,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Female,39,6,unknown,Driver or rider,Female,30,survived
Car,Slowing or stopping,Cleared junction or waiting,Skidded,Other object,Other,Female,35,2,Urban area,Driver or rider,Male,25,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,23,14,Small town,Driver or rider,Female,23,survived
Car,Reversing,Leaving main road,Skidded,Kerb,Other,Male,78,2,Urban area,Passenger,Female,77,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Female,29,3,Urban area,Pedestrian,Female,14,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Male,70,7,Urban area,Driver or rider,Male,77,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,49,6,Rural,Driver or rider,Male,37,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,55,2,Urban area,Driver or rider,Male,56,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,79,16,Rural,Driver or rider,Female,79,survived
Car,Going ahead other,Mid Junction ,Skidded,Central island of roundabout,Other,Male,41,14,Urban area,Driver or rider,Male,41,Died
Pedal cycle,Going ahead other,Leaving roundabout,Skidded,Other object,from work,Male,52,7,Urban area,Driver or rider,Male,52,Died
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,37,1,Urban area,Driver or rider,Male,37,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,64,7,Urban area,Passenger,Female,54,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,21,10,Urban area,Driver or rider,Male,21,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,31,12,Urban area,Driver or rider,Male,19,survived
Taxi,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,51,7,Urban area,Driver or rider,Female,39,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,26,7,Urban area,Driver or rider,Male,26,Died
Bus,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,49,6,Urban area,Passenger,Female,60,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,23,4,Urban area,Passenger,Male,12,survived
Car,Parked,Approaching junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,41,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,27,8,Urban area,Driver or rider,Male,27,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,20,7,Urban area,Driver or rider,Male,43,Died
Taxi,Waiting to go ,Mid Junction ,Skidded,Other object,Journey as part of work,Male,32,7,unknown,Passenger,Female,22,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,from work,Female,23,5,Small town,Driver or rider,Female,39,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,15,7,Urban area,Driver or rider,Male,15,Died
Car,Waiting to go ,Cleared junction or waiting,Skidded,Other object,Journey as part of work,Female,70,5,Urban area,Driver or rider,Female,70,survived
Car,Going ahead other,Approaching junction or waiting,Overturned,Other object,from work,Male,19,11,Small town,Driver or rider,Male,19,survived
Motorcycle ,Turning left,Mid Junction ,Skidded,Other object,Other,Male,28,13,Urban area,Passenger,Female,28,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Female,47,11,Urban area,Driver or rider,Female,24,survived
Car,U-turn,Mid Junction ,Skidded,Other object,from work,Female,62,6,Urban area,Driver or rider,Female,39,survived
Car,Waiting to go ,Mid Junction ,Skidded,Other object,from work,Male,31,3,Urban area,Passenger,Male,23,survived
Motorcycle ,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Male,20,7,Urban area,Driver or rider,Male,20,survived
Motorcycle ,Slowing or stopping,Mid Junction ,Skidded,Other object,Other,Male,66,9,Urban area,Driver or rider,Male,66,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,from work,Male,39,9,Urban area,Driver or rider,Male,21,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,54,14,Urban area,Driver or rider,Male,38,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,27,5,Rural,Driver or rider,Male,43,survived
Motorcycle ,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Male,25,7,Rural,Driver or rider,Male,25,Died
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,27,7,Urban area,Driver or rider,Male,27,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,39,12,Small town,Passenger,Male,35,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,68,11,Urban area,Driver or rider,Male,53,survived
Car,Reversing,Leaving main road,Skidded,Other object,from work,Female,34,4,Small town,Driver or rider,Female,44,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Female,34,7,Urban area,Driver or rider,Female,34,survived
Goods ,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Male,51,7,unknown,Driver or rider,Male,59,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Parked vehicle,Other,Male,19,7,Urban area,Driver or rider,Male,19,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,65,7,Urban area,Driver or rider,Male,65,Died
Car,Turning left,Leaving main road,Skidded,Other object,Other,Female,18,4,Small town,Driver or rider,Female,18,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,38,1,unknown,Passenger,Male,34,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Male,70,6,Urban area,Driver or rider,Male,70,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Bollard or refuge,from work,Male,28,2,Urban area,Driver or rider,Male,28,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Male,43,5,Small town,Passenger,Female,50,survived
Car,Reversing,Leaving main road,Overturned,Other object,Other,Male,50,5,Rural,Driver or rider,Male,50,Died
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Female,67,11,Urban area,Driver or rider,Female,26,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,60,7,Rural,Driver or rider,Male,79,survived
Car,Going ahead other,Leaving roundabout,Skidded,Other object,Other,Male,36,3,Small town,Passenger,Male,45,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,55,10,Rural,Passenger,Female,55,Died
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Male,25,12,Urban area,Driver or rider,Male,24,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,33,4,Urban area,Passenger,Female,60,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,53,5,Urban area,Driver or rider,Female,37,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,38,7,unknown,Passenger,Female,27,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,83,11,Small town,Driver or rider,Male,56,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,18,9,Urban area,Passenger,Male,19,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,33,8,Urban area,Driver or rider,Male,33,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,22,7,Urban area,Driver or rider,Male,22,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,20,6,unknown,Driver or rider,Female,59,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,35,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,41,1,Urban area,Passenger,Female,26,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Female,30,11,Urban area,Passenger,Female,24,survived
Car,Turning left,Mid Junction ,Skidded,Other object,Other,Male,86,4,Urban area,Driver or rider,Male,35,Died
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,51,7,Urban area,Driver or rider,Male,51,survived
Motorcycle ,Turning left,Mid Junction ,Skidded,Other object,Other,Male,20,7,unknown,Driver or rider,Male,20,survived
Van ,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,49,1,Urban area,Driver or rider,Male,25,survived
Car,Moving off,Cleared junction or waiting,Skidded,Other object,Other,Female,24,11,Urban area,Driver or rider,Male,31,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,21,7,unknown,Passenger,Female,78,survived
Car,Reversing,Mid Junction ,Skidded,Other object,Other,Female,51,1,Urban area,Driver or rider,Female,51,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,49,7,Urban area,Driver or rider,Male,52,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,from work,Male,55,7,Urban area,Driver or rider,Male,24,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,82,13,Small town,Driver or rider,Male,25,survived
Motorcycle ,Turning left,Leaving main road,Skidded,Other object,from home,Male,17,3,Urban area,Driver or rider,Male,17,Died
Car,Reversing,Leaving main road,Skidded ,Parked vehicle,Other,Male,28,10,Urban area,Passenger,Male,29,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Male,28,7,unknown,Driver or rider,Male,28,survived
Car,Turning right,Cleared junction or waiting,Skidded,Other object,from work,Female,44,11,Urban area,Driver or rider,Female,44,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,35,6,unknown,Driver or rider,Male,35,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,57,1,Urban area,Driver or rider,Male,57,Died
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,20,7,Small town,Passenger,Female,18,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,48,2,Rural,Passenger,Female,7,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Female,61,2,Urban area,Driver or rider,Male,53,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,20,13,Urban area,Passenger,Male,20,survived
Car,Going ahead other,Leaving roundabout,Skidded,Other object,Other,Male,17,15,Urban area,Driver or rider,Male,17,Died
Motorcycle ,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,47,16,Urban area,Driver or rider,Female,47,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,17,5,Rural,Driver or rider,Male,35,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Male,52,7,Urban area,Driver or rider,Male,52,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,35,8,Urban area,Driver or rider,Male,35,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Female,48,7,Urban area,Driver or rider,Male,20,survived
Car,Reversing,Cleared junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Female,43,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,32,5,Urban area,Passenger,Female,23,Died
Motorcycle ,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Male,21,2,Urban area,Driver or rider,Male,21,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,20,10,Urban area,Driver or rider,Male,20,survived
Taxi,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,27,survived
Taxi,Turning left,Leaving main road,Skidded,Other object,Journey as part of work,Male,63,2,Urban area,Pedestrian,Female,92,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,69,7,Urban area,Driver or rider,Female,69,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,32,7,unknown,Driver or rider,Female,45,survived
Goods ,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Male,66,1,Urban area,Passenger,Female,35,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,from school,Male,51,6,Urban area,Passenger,Female,47,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Female,39,7,Urban area,Passenger,Female,16,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Kerb,Other,Female,19,3,Urban area,Driver or rider,Female,19,survived
Car,Going ahead other,Entering from slip road,Skidded,Other object,Other,Female,42,7,Urban area,Driver or rider,Female,42,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,79,11,Urban area,Driver or rider,Male,26,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,26,15,Small town,Driver or rider,Male,26,survived
Car,Going ahead other,Leaving main road,Skidded,Bollard or refuge,Other,Female,24,7,unknown,Driver or rider,Female,24,survived
Van ,Going ahead other,Approaching junction or waiting,Skidded,Bollard or refuge,from work,Male,44,7,Small town,Driver or rider,Male,44,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,20,9,Urban area,Driver or rider,Male,20,survived
Motorcycle ,Reversing,Leaving main road,Skidded,Other object,Other,Female,51,20,Small town,Driver or rider,Female,51,Died
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,19,7,unknown,Driver or rider,Male,19,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Female,26,7,Rural,Passenger,Male,27,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,25,3,Urban area,Passenger,Female,11,survived
Car,Waiting to go ,Cleared junction or waiting,Skidded,Other object,Other,Male,49,7,Urban area,Driver or rider,Male,24,survived
Motorcycle ,Reversing,Leaving main road,Overturned,Other object,Other,Male,54,11,unknown,Driver or rider,Male,54,Died
Car,Reversing,Leaving main road,Skidded ,Other object,Other,Male,33,7,Urban area,Passenger,Male,43,survived
Pedal cycle,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Male,19,7,Urban area,Driver or rider,Male,19,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Male,22,7,Small town,Driver or rider,Male,21,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,52,9,unknown,Driver or rider,Female,52,survived
Motorcycle ,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,48,3,Small town,Driver or rider,Male,48,survived
Pedal cycle,Slowing or stopping,Mid Junction ,Skidded,Other object,Other,Male,70,7,Urban area,Driver or rider,Male,70,survived
Car,Turning left,Mid Junction ,Skidded,Other object,from work,Female,20,8,Urban area,Driver or rider,Female,20,survived
Car,Going ahead other,Leaving roundabout,Skidded,Other object,Other,Male,38,11,Urban area,Driver or rider,Male,45,survived
Car,Moving off,Mid Junction ,Skidded,Other object,from work,Female,20,14,Urban area,Driver or rider,Female,20,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,49,7,Urban area,Driver or rider,Male,49,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,22,4,Urban area,Driver or rider,Male,22,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,33,5,Urban area,Driver or rider,Female,33,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,63,3,Urban area,Pedestrian,Male,87,survived
Car,Going ahead other,Leaving main road,Skidded,Bollard or refuge,Other,Male,37,2,Urban area,Passenger,Female,49,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Female,25,7,Urban area,Driver or rider,Female,25,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,30,4,Small town,Driver or rider,Female,47,survived
Van ,Turning left,Mid Junction ,Skidded,Other object,from work,Male,54,3,Rural,Pedestrian,Male,2,Died
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Female,21,1,unknown,Passenger,Male,21,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,34,9,Rural,Driver or rider,Male,34,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,65,10,unknown,Driver or rider,Male,65,Died
Car,Parked,Mid Junction ,Skidded,Parked vehicle,Other,Male,38,3,unknown,Driver or rider,Male,29,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,75,5,Urban area,Driver or rider,Female,45,survived
Car,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,34,3,Urban area,Driver or rider,Male,34,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,18,3,Small town,Driver or rider,Male,18,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,58,7,unknown,Driver or rider,Male,47,survived
Motorcycle ,Turning right,Leaving roundabout,Skidded ,Other object,from work,Male,21,7,Rural,Driver or rider,Male,21,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,79,8,Urban area,Driver or rider,Male,79,survived
Taxi,Turning right,Cleared junction or waiting,Skidded,Other object,Other,Male,45,6,Urban area,Pedestrian,Male,28,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,9,unknown,Driver or rider,Male,29,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Female,24,7,Urban area,Driver or rider,Female,24,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,42,9,Urban area,Driver or rider,Male,13,survived
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,13,7,Urban area,Driver or rider,Male,13,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Female,29,3,Rural,Passenger,Male,4,survived
Car,Reversing,Leaving main road,Skidded,Other object,from work,Male,29,7,Urban area,Driver or rider,Male,29,survived
Car,Going ahead other,Leaving main road,Skidded,Central island of roundabout,Other,Male,58,7,Urban area,Passenger,Female,53,survived
Taxi,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,38,4,Urban area,Driver or rider,Male,35,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Female,44,3,Rural,Driver or rider,Female,44,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,59,5,Urban area,Driver or rider,Female,29,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,from work,Male,34,8,Urban area,Driver or rider,Female,18,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,19,7,Urban area,Driver or rider,Male,19,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,38,4,Urban area,Pedestrian,Female,11,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Male,30,11,Urban area,Passenger,Female,15,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,38,8,unknown,Pedestrian,Male,65,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,11,survived
Car,Reversing,Approaching junction or waiting,Skidded,Other object,from work,Female,45,2,Urban area,Driver or rider,Female,45,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,44,5,Urban area,Driver or rider,Female,32,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,13,unknown,Pedestrian,Male,20,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,19,6,Urban area,Driver or rider,Female,19,survived
Car,Moving off,Approaching junction or waiting,Skidded,Other object,Other,Female,50,3,Urban area,Driver or rider,Female,50,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Male,55,5,Urban area,Driver or rider,Male,18,survived
Car,Parked,Leaving main road,Skidded,Other object,Journey as part of work,Female,28,2,Urban area,Pedestrian,Female,39,survived
Motorcycle ,Reversing,Leaving main road,Skidded,Kerb,Other,Male,16,7,Rural,Driver or rider,Male,16,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Female,41,5,Urban area,Driver or rider,Female,41,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,18,12,Urban area,Driver or rider,Male,20,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,20,8,Small town,Driver or rider,Male,20,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,17,4,Urban area,Driver or rider,Female,58,survived
Pedal cycle,Overtaking ,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,35,survived
Bus,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,25,7,Rural,Driver or rider,Male,59,survived
Car,Turning left,Leaving main road,Skidded,Other object,Journey as part of work,Male,44,14,Urban area,Driver or rider,Male,40,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,33,11,Urban area,Passenger,Female,21,survived
