vehicle_type,vehicle_manoeuvre,junction_location,skidding_and_overturning,hit_object_in_carriageway,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_of_vehicle,driver_home_area_type,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity
Taxi,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,45,7,Urban area,Passenger,Female,26,survived
Car,Turning right,Mid Junction ,Skidded,Other object,from school,Female,24,3,Urban area,Driver or rider,Male,32,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Female,40,2,Urban area,Driver or rider,Female,40,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,34,2,Urban area,Driver or rider,Male,34,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,16,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,28,7,Urban area,Pedestrian,Female,9,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,41,8,Urban area,Driver or rider,Male,34,survived
Goods ,Parked,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Male,20,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,75,7,unknown,Driver or rider,Female,75,survived
Car,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Male,50,3,unknown,Passenger,Male,40,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,24,10,Urban area,Driver or rider,Male,65,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,18,7,Urban area,Driver or rider,Male,18,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,from work,Female,47,7,Urban area,Driver or rider,Female,47,survived
Car,Going ahead other,Mid Junction ,Skidded ,Other object,from work,Male,28,7,Small town,Driver or rider,Male,28,survived
Bus,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,34,6,Small town,Driver or rider,Male,34,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Female,38,5,unknown,Driver or rider,Male,65,survived
Car,Waiting to turn left,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,29,7,Urban area,Driver or rider,Male,29,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Male,10,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Female,39,4,unknown,Driver or rider,Female,39,survived
Car,Reversing,Leaving main road,Skidded,Other object,from work,Male,27,7,Urban area,Driver or rider,Male,42,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,21,9,Urban area,Driver or rider,Male,21,survived
Pedal cycle,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,18,7,Urban area,Driver or rider,Female,18,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Female,45,10,Urban area,Driver or rider,Female,45,survived
Car,Waiting to go ,Mid Junction ,Skidded,Other object,from work,Male,61,12,unknown,Driver or rider,Male,31,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,from work,Male,50,7,Urban area,Driver or rider,Female,30,survived
Car,Turning right,Mid Junction ,Skidded,Other object,from work,Male,48,2,Urban area,Driver or rider,Male,45,survived
Car,Turning left,Mid Junction ,Skidded,Other object,Other,Male,38,10,Urban area,Passenger,Male,30,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,from work,Male,35,7,Urban area,Driver or rider,Female,25,survived
Bus,Turning right,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,55,10,Urban area,Passenger,Female,64,survived
Goods ,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,53,1,Urban area,Driver or rider,Male,43,Died
Car,Waiting to go ,Approaching junction or waiting,Skidded,Kerb,Other,Male,52,8,Urban area,Passenger,Male,25,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Male,71,8,Urban area,Driver or rider,Female,33,survived
Car,Reversing,Mid Junction ,Skidded,Other object,Other,Male,38,7,Urban area,Pedestrian,Male,54,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,from work,Female,58,9,Urban area,Passenger,Female,48,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,37,10,Small town,Driver or rider,Female,37,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Male,57,Died
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Male,35,3,Urban area,Passenger,Male,35,survived
Car,Overtaking ,Mid Junction ,Skidded,Other object,Other,Male,38,11,unknown,Driver or rider,Male,36,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Female,69,11,Rural,Driver or rider,Female,69,survived
Car,Turning left,Mid Junction ,Skidded,Other object,Other,Female,23,3,Urban area,Passenger,Male,19,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,23,7,Rural,Driver or rider,Female,23,survived
Motorcycle ,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,35,16,Urban area,Driver or rider,Female,35,survived
Motorcycle ,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Male,33,9,unknown,Driver or rider,Male,33,survived
Motorcycle ,Turning left,Leaving main road,Skidded,Other object,Other,Male,34,10,Urban area,Pedestrian,Female,33,Died
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,39,11,Small town,Passenger,Female,35,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Female,34,2,Urban area,Driver or rider,Female,18,survived
Car,Turning left,Mid Junction ,Skidded,Other object,Journey as part of work,Female,45,10,Urban area,Driver or rider,Female,45,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,22,10,Rural,Driver or rider,Female,22,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Female,35,12,Urban area,Driver or rider,Female,35,survived
Car,Parked,Leaving main road,Skidded,Other object,Other,Female,36,6,Urban area,Passenger,Female,8,survived
Car,Going ahead other,Mid Junction ,Skidded,Kerb,Other,Female,38,7,unknown,Driver or rider,Female,46,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,from work,Male,41,1,Urban area,Driver or rider,Male,41,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,54,4,Urban area,Pedestrian,Male,31,Died
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,47,2,Urban area,Passenger,Female,70,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,26,5,Urban area,Driver or rider,Female,26,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,20,8,Urban area,Passenger,Female,16,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,20,12,Small town,Driver or rider,Male,20,survived
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Female,42,2,Urban area,Passenger,Female,16,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Female,63,1,Small town,Driver or rider,Female,63,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,33,11,Urban area,Passenger,Female,14,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,27,5,Rural,Pedestrian,Female,9,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,42,13,Urban area,Driver or rider,Female,37,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,56,7,Small town,Driver or rider,Male,19,Died
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,30,9,unknown,Pedestrian,Male,6,survived
Goods ,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,33,1,Urban area,Driver or rider,Female,20,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Female,41,12,Urban area,Passenger,Female,26,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,32,1,Rural,Driver or rider,Male,55,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Male,21,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,35,3,unknown,Driver or rider,Female,56,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,from work,Female,53,4,Rural,Driver or rider,Male,40,survived
Goods ,Parked,Leaving main road,Skidded,Other object,Journey as part of work,Male,38,7,unknown,Driver or rider,Male,28,Died
Car,Turning right,Mid Junction ,Skidded,Other object,Journey as part of work,Male,33,3,Urban area,Driver or rider,Female,39,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,50,8,Rural,Driver or rider,Female,50,survived
Motorcycle ,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Male,33,6,Urban area,Driver or rider,Male,33,survived
Motorcycle ,Reversing,Leaving main road,Skidded,Other object,Other,Female,23,3,Urban area,Driver or rider,Female,23,survived
Taxi,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Male,27,Died
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,26,9,Urban area,Driver or rider,Male,47,survived
Car,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Female,26,3,Urban area,Passenger,Male,62,survived
Car,Going ahead other,Mid Junction ,Skidded ,Kerb,Other,Male,25,6,Urban area,Driver or rider,Male,25,survived
Bus,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Male,53,3,Rural,Passenger,Female,19,survived
Goods ,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,38,7,unknown,Driver or rider,Female,56,survived
Pedal cycle,Turning right,Mid Junction ,Skidded,Other object,Other,Female,27,7,Urban area,Driver or rider,Female,27,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,43,5,Urban area,Driver or rider,Female,43,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,29,12,Urban area,Driver or rider,Male,29,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Female,22,8,Urban area,Driver or rider,Female,22,survived
Motorcycle ,Going ahead other,Cleared junction or waiting,Skidded ,Other object,Journey as part of work,Male,52,5,Urban area,Driver or rider,Male,52,Died
Pedal cycle,Going ahead other,Approaching junction or waiting,Skidded,Other object,from work,Female,25,7,Urban area,Driver or rider,Female,25,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,54,16,unknown,Driver or rider,Female,22,survived
